alpha, cl
0.02501194267515924, 0.04167664670658677
0.047522691082802555, 0.24287425149700592
0.07503582802547772, 0.475688622754491
0.12005732484076434, 0.7228742514970059
0.14256807324840767, 0.8522155688622755
0.18008598726114652, 0.9758083832335329
0.23511226114649686, 1.0591616766467065
0.2826349522292994, 0.9614371257485029
0.2926397292993631, 0.6222754491017963
0.33015764331210196, 0.5992814371257484
0.37017675159235675, 0.6222754491017963
0.43520780254777075, 0.6711377245508982
0.46021974522293, 0.7372455089820359
0.5002388535031848, 0.8119760479041915
0.5327543789808918, 0.8924550898203593
0.6077902070063695, 0.9930538922155688
0.6603152866242039, 1.0217964071856287
0.7378523089171976, 1.0447904191616766
0.7978809713375797, 1.0390419161676645
0.885422770700637, 1.0102994011976048
0.9729645700636944, 0.9413173652694611
1.0580051751592359, 0.8550898203592814
1.1380433917197454, 0.7544910179640718
1.2305875796178345, 0.6136526946107784
1.315628184713376, 0.478562874251497
1.4081723726114652, 0.35497005988023944
1.4982153662420383, 0.21125748502994013
1.5932607484076435, 0.07041916167664675
1.678301353503185, -0.05604790419161687
1.768344347133758, -0.19113772455089828
1.8508837579617836, -0.30898203592814366
1.9434279458598729, -0.44982035928143715
2.0309697452229303, -0.5992814371257484
2.1160103503184717, -0.699880239520958
2.1935473726114654, -0.7918562874251498
2.2860915605095546, -0.8838323353293414
2.3736333598726116, -0.970059880239521
2.4511703821656052, -0.9643113772455092
2.5437145700636945, -0.8867065868263475
2.62625398089172, -0.7889820359281436
2.7187981687898093, -0.6711377245508983
2.8038387738853507, -0.6452694610778444
2.888879378980892, -0.6912574850299402
2.9914283439490448, -0.8953293413173651
3.0764689490445862, -0.6395209580838324
3.1364976114649687, -0.13652694610778449
3.151504777070064, 0.004311377245509007